red_team_lead,766e4c001a14939cebef4ca667b847c9a1bb1298b1d25cda034be723f72fc58f
blue_team_analyst,d5b937af71a0bf3e72c86ca7e4bcc7dd2c2a24a3045a25014593e1678e351b15
purple_team_coord,03f6fcad5f06317f25d38d424069d6741884ad2c6a92dd378243f57f556773ee
student_intern,1cf02b43bfdaf030ee1c0d10488b791742d9f8fbc7cb4c7f265d13a044910183
security_admin,298358d5f715b48544da29f521036635408ce3793425b2dba7c72a356bc7c82f
network_admin,c7f7d6bdb9682b0e7665ca54c0590c1d92f4aa4baa5956de7dede368c47945f4
forensic_expert,de5e6f7cdd440e570c4f45d475576b2e14e88b06c28ac3f2bbfe42624b4aa044
malware_analyst,db9c897c5c17da17032ecb4ac9310350f7e36c1368c1e2e192197b8eae84e535
soc_analyst,371b57c2b87dc80f179f0576147ba6f97169e4e1bab864906dd8163cba2f4391
pentest_user,f2674fa892f01f990f8f6f01acf5c33a4a3a71b59a090d2f45275590b3a158e1
